Индекс,Тип региона,Регион,Город,Население
404410,обл,Волгоградская,Суровикино,20527
624021,обл,Свердловская,Сысерть,20594
461743,обл,Оренбургская,Абдулино,20663
363240,Респ,Северная Осетия - Алания,Алагир,20949
456900,обл,Челябинская,Бакал,20953
142432,обл,Московская,Черноголовка,20986
361621,Респ,Кабардино-Балкарская,Тырныауз,21000
662060,край,Красноярский,Боготол,21029
187700,обл,Ленинградская,Лодейное Поле,21053
140170,обл,Московская,Бронницы,21102
425350,Респ,Марий Эл,Козьмодемьянск,21262
140730,обл,Московская,Рошаль,21265
678900,Респ,Саха /Якутия/,Алдан,21277
166000,АО,Ненецкий,Нарьян-Мар,21296
431350,Респ,Мордовия,Ковылкино,21307
606910,обл,Нижегородская,Шахунья,21337
164840,обл,Архангельская,Онега,21359
238340,обл,Калининградская,Светлый,21380
607510,обл,Нижегородская,Сергач,21387
413500,обл,Саратовская,Ершов,21447
307750,обл,Курская,Льгов,21452
633450,обл,Новосибирская,Тогучин,21531
187600,обл,Ленинградская,Пикалево,21567
352680,край,Краснодарский,Хадыженск,21580
624220,обл,Свердловская,Нижняя Тура,21596
141370,обл,Московская,Хотьково,21612
391960,обл,Рязанская,Ряжск,21676
142620,обл,Московская,Куровское,21821
142450,обл,Московская,Старая Купавна,21859
606210,обл,Нижегородская,Лысково,21882
652740,обл,Кемеровская,Калтан,21893
624140,обл,Свердловская,Кировград,21959
423650,Респ,Татарстан,Менделеевск,22075
423930,Респ,Татарстан,Бавлы,22109
142530,обл,Московская,Электрогорск,22120
647000,край,Красноярский,Дудинка,22207
164200,обл,Архангельская,Няндома,22354
346310,обл,Ростовская,Зверево,22416
618120,край,Пермский,Оса,22420
296012,Респ,Крым,Армянск,22468
442317,обл,Пензенская,Никольск,22471
665770,обл,Иркутская,Вихоревка,22528
357340,край,Ставропольский,Лермонтов,22540
141150,обл,Московская,Лосино-Петровский,22550
442150,обл,Пензенская,Нижний Ломов,22678
617119,край,Пермский,Верещагино,22760
682460,край,Хабаровский,Николаевск-на-Амуре,22773
157800,обл,Костромская,Нерехта,22817
172520,обл,Тверская,Нелидово,22886
684090,край,Камчатский,Вилючинск,22905
143070,обл,Московская,Кубинка,22918
694490,обл,Сахалинская,Оха,23007
184530,обл,Мурманская,Оленегорск,23079
652990,обл,Кемеровская,Таштагол,23114
671160,Респ,Бурятия,Гусиноозерск,23280
629830,АО,Ямало-Ненецкий,Губкинский,23340
143600,обл,Московская,Волоколамск,23386
296500,Респ,Крым,Саки,23400
171070,обл,Тверская,Бологое,23499
456040,обл,Челябинская,Усть-Катав,23586
612740,обл,Кировская,Омутнинск,23618
157500,обл,Костромская,Шарья,23668
671700,Респ,Бурятия,Северобайкальск,23673
692880,край,Приморский,Фокино,23683
369200,Респ,Карачаево-Черкесская,Карачаевск,23848
187330,обл,Ленинградская,Отрадное,23874
346630,обл,Ростовская,Семикаракорск,23884
165150,обл,Архангельская,Вельск,23885
309070,обл,Белгородская,Строитель,23933
646900,обл,Омская,Калачинск,24000
453400,Респ,Башкортостан,Давлеканово,24040
403801,обл,Волгоградская,Котово,24104
636460,обл,Томская,Колпашево,24126
412800,обл,Саратовская,Красноармейск,24362
606605,обл,Нижегородская,Семенов,24472
357400,край,Ставропольский,Железноводск,24496
171980,обл,Тверская,Бежецк,24517
140600,обл,Московская,Зарайск,24648
652780,обл,Кемеровская,Гурьевск,24816
678141,Респ,Саха /Якутия/,Ленск,24955
624330,обл,Свердловская,Красноуральск,24973
612600,обл,Кировская,Котельнич,24979
676151,обл,Амурская,Зея,25042
396420,обл,Воронежская,Павловск,25126
624191,обл,Свердловская,Невьянск,25147
652400,обл,Кемеровская,Тайга,25330
607600,обл,Нижегородская,Богородск,25497
301260,обл,Тульская,Киреевск,25585
636840,обл,Томская,Асино,25614
412420,обл,Саратовская,Аткарск,25620
187340,обл,Ленинградская,Кировск,25633
627139,обл,Тюменская,Заводоуковск,25657
157000,обл,Костромская,Буй,25763
140560,обл,Московская,Озеры,25788
646020,обл,Омская,Исилькуль,25905
396900,обл,Воронежская,Семилуки,26025
356630,край,Ставропольский,Ипатово,26055
632120,обл,Новосибирская,Татарск,26114
665650,обл,Иркутская,Железногорск-Илимский,26134
462240,обл,Оренбургская,Кувандык,26176
243300,обл,Брянская,Унеча,26196
141290,обл,Московская,Красноармейск,26294
461504,обл,Оренбургская,Соль-Илецк,26308
155250,обл,Ивановская,Родники,26318
249000,обл,Калужская,Балабаново,26337
298400,Респ,Крым,Бахчисарай,26363
628240,АО,Ханты-Мансийский Автономный округ - Югра,Советский,26434
357300,край,Ставропольский,Новопавловск,26556
646530,обл,Омская,Тара,26664
361110,Респ,Кабардино-Балкарская,Майский,26755
356000,край,Ставропольский,Новоалександровск,26759
624250,обл,Свердловская,Заречный,26803
393460,обл,Тамбовская,Уварово,26829
347740,обл,Ростовская,Зерноград,26850
624860,обл,Свердловская,Камышлов,26875
404500,обл,Волгоградская,Калач-на-Дону,26892
629400,АО,Ямало-Ненецкий,Лабытнанги,26948
452800,Респ,Башкортостан,Янаул,26988
397500,обл,Воронежская,Бутурлиновка,27208
445240,обл,Самарская,Октябрьск,27244
462271,обл,Оренбургская,Медногорск,27253
618250,край,Пермский,Губаха,27544
692130,край,Приморский,Дальнереченск,27601
652560,обл,Кемеровская,Полысаево,27624
347210,обл,Ростовская,Морозовск,27644
356880,край,Ставропольский,Нефтекумск,27700
682800,край,Хабаровский,Советская Гавань,27712
169500,Респ,Коми,Сосногорск,27809
391430,обл,Рязанская,Сасово,28117
446450,обл,Самарская,Похвистнево,28181
238050,обл,Калининградская,Гусев,28260
663081,край,Красноярский,Дивногорск,28271
186930,Респ,Карелия,Костомукша,28433
301720,обл,Тульская,Кимовск,28493
658125,край,Алтайский,Алейск,28528
652300,обл,Кемеровская,Топки,28642
298500,Респ,Крым,Алушта,28642
184250,обл,Мурманская,Кировск,28659
632860,обл,Новосибирская,Карасук,28929
624930,обл,Свердловская,Карпинск,29118
457353,обл,Челябинская,Карталы,29136
624480,обл,Свердловская,Североуральск,29279
143530,обл,Московская,Дедовск,29280
416540,обл,Астраханская,Знаменск,29357
153510,обл,Ивановская,Кохма,29408
242600,обл,Брянская,Дятьково,29438
296000,Респ,Крым,Красноперекопск,29564
186420,Респ,Карелия,Сегежа,29660
216400,обл,Смоленская,Десногорск,29677
140500,обл,Московская,Луховицы,29849
601010,обл,Владимирская,Киржач,30044
353280,край,Краснодарский,Горячий Ключ,30093
461900,обл,Оренбургская,Сорочинск,30136
456580,обл,Челябинская,Еманжелинск,30218
164170,обл,Архангельская,Мирный,30259
658820,край,Алтайский,Славгород,30370
391800,обл,Рязанская,Скопин,30374
249091,обл,Калужская,Малоярославец,30401
456800,обл,Челябинская,Верхний Уфалей,30504
369300,Респ,Карачаево-Черкесская,Усть-Джегута,30602
368670,Респ,Дагестан,Дагестанские Огни,30671
606500,обл,Нижегородская,Городец,30699
619000,край,Пермский,Кудымкар,30711
694620,обл,Сахалинская,Холмск,30936
171841,обл,Тверская,Удомля,31048
386300,Респ,Ингушетия,Малгобек,31076
386230,Респ,Ингушетия,Карабулак,31081
412540,обл,Саратовская,Петровск,31158
452320,Респ,Башкортостан,Дюртюли,31272
142670,обл,Московская,Ликино-Дулево,31331
674600,край,Забайкальский,Борзя,31376
143200,обл,Московская,Можайск,31388
413075,обл,Саратовская,Маркс,31535
162390,обл,Вологодская,Великий Устюг,31664
361330,Респ,Кабардино-Балкарская,Нарткала,31679
215010,обл,Смоленская,Гагарин,31721
623530,обл,Свердловская,Богданович,31752
152150,обл,Ярославская,Ростов,31791
393190,обл,Тамбовская,Котовск,31851
249440,обл,Калужская,Киров,31888
301830,обл,Тульская,Богородицк,31897
456015,обл,Челябинская,Аша,31916
169840,Респ,Коми,Инта,32021
175200,обл,Новгородская,Старая Русса,32235
353860,край,Краснодарский,Приморско-Ахтарск,32253
665382,обл,Иркутская,Зима,32522
423040,Респ,Татарстан,Нурлат,32600
396070,обл,Воронежская,Нововоронеж,32635
238520,обл,Калининградская,Балтийск,32670
356420,край,Ставропольский,Благодарный,32736
140700,обл,Московская,Шатура,32836
623780,обл,Свердловская,Артемовский,32878
186220,Респ,Карелия,Кондопога,32978
624300,обл,Свердловская,Кушва,33027
662500,край,Красноярский,Сосновоборск,33090
617830,край,Пермский,Чернушка,33275
629601,АО,Ямало-Ненецкий,Муравленко,33401
429120,Чувашия,Чувашская Республика,Шумерля,33412
391300,обл,Рязанская,Касимов,33494
694020,обл,Сахалинская,Корсаков,33526
188560,обл,Ленинградская,Сланцы,33587
456080,обл,Челябинская,Трехгорный,33678
397837,обл,Воронежская,Острогожск,33842
613150,обл,Кировская,Слободской,33983
628260,АО,Ханты-Мансийский Автономный округ - Югра,Югорск,34066
453430,Респ,Башкортостан,Благовещенск,34246
446430,обл,Самарская,Кинель,34472
152610,обл,Ярославская,Углич,34505
624800,обл,Свердловская,Сухой Лог,34836
352240,край,Краснодарский,Новокубанск,34847
423330,Респ,Татарстан,Азнакаево,34859
353320,край,Краснодарский,Абинск,34926
155040,обл,Ивановская,Тейково,34993
143500,обл,Московская,Истра,35106
612960,обл,Кировская,Вятские Поляны,35159
352190,край,Краснодарский,Гулькевичи,35225
309990,обл,Белгородская,Валуйки,35322
442890,обл,Пензенская,Сердобск,35393
623950,обл,Свердловская,Тавда,35421
665000,обл,Иркутская,Тайшет,35481
676280,обл,Амурская,Тында,35574
184042,обл,Мурманская,Кандалакша,35659
296100,Респ,Крым,Джанкой,35700
618730,край,Пермский,Добрянка,35720
607010,обл,Нижегородская,Кулебаки,35762
357910,край,Ставропольский,Зеленокумск,35790
143090,обл,Московская,Краснознаменск,36057
155520,обл,Ивановская,Фурманов,36149
368120,Респ,Дагестан,Кизилюрт,36187
188230,обл,Ленинградская,Луга,36409
346130,обл,Ростовская,Миллерово,36493
627010,обл,Тюменская,Ялуторовск,36494
363020,Респ,Северная Осетия - Алания,Беслан,36724
361500,Респ,Кабардино-Балкарская,Баксан,36857
692031,край,Приморский,Лесозаводск,36975
665100,обл,Иркутская,Нижнеудинск,37056
678170,Респ,Саха /Якутия/,Мирный,37179
142280,обл,Московская,Протвино,37308
692437,край,Приморский,Дальнегорск,37503
155330,обл,Ивановская,Вичуга,37609
